out,sig_angle_deg
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.09
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.09
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.18
255.0,207.53
255.0,208.76
255.0,210.52
255.0,212.54
255.0,215.18
255.0,218.08
255.0,221.24
255.0,224.58
255.0,228.28
50.0,232.14
-233.8,236.01
-255.0,239.18
-143.47,239.97
100.9,239.18
205.76,238.12
245.8,237.24
156.65,237.15
50.0,237.68
-50.0,238.38
-50.0,238.91
-63.39,239.35
-50.0,239.44
50.0,239.26
50.0,239.09
54.42,238.82
55.43,238.65
50.31,238.56
55.76,238.47
61.23,238.38
50.0,238.38
50.0,238.38
50.0,238.47
50.0,238.56
50.0,238.74
-50.0,238.91
-50.0,239.09
50.0,239.0
50.0,238.91
50.0,238.74
50.0,238.65
50.0,238.65
50.0,238.56
50.0,238.65
50.0,238.65
50.0,238.74
-50.0,238.91
-50.0,239.09
50.0,239.0
50.0,238.74
50.0,238.74
50.0,238.65
50.0,238.65
50.0,238.65
