tempo,rpm,freq,out
1.6345958709716797,0.0,0.0,-255.0
2.16586971282959,429.55,68.73,-253.0
2.692417621612549,556.82,89.09,-251.0
3.2376747131347656,548.86,87.82,-249.0
3.7683138847351074,548.86,87.82,-247.0
4.314308404922485,545.45,87.27,-245.0
4.841307640075684,546.59,87.45,-243.0
5.371870994567871,545.45,87.27,-241.0
5.917093276977539,546.59,87.45,-239.0
6.445171594619751,545.45,87.27,-237.0
6.987360000610352,546.59,87.45,-235.0
7.519241094589233,546.59,87.45,-233.0
8.057666063308716,545.45,87.27,-231.0
8.586680173873901,546.59,87.45,-229.0
9.131425142288208,543.18,86.91,-227.0
9.662873983383179,540.91,86.55,-225.0
10.207015752792358,539.77,86.36,-223.0
10.736554384231567,537.5,86.0,-221.0
11.267627716064453,539.77,86.36,-219.0
11.811538457870483,538.64,86.18,-217.0
12.341098308563232,537.5,86.0,-215.0
12.872553586959839,535.23,85.64,-213.0
13.414408206939697,537.5,86.0,-211.0
13.943724393844604,534.09,85.45,-209.0
14.48659348487854,532.95,85.27,-207.0
15.014914512634277,531.82,85.09,-205.0
15.559264421463013,530.68,84.91,-203.0
16.099297761917114,528.41,84.55,-201.0
16.634214878082275,529.55,84.73,-199.0
17.167339086532593,527.27,84.36,-197.0
17.70693564414978,526.14,84.18,-195.0
18.24083375930786,525.0,84.0,-193.0
18.766215562820435,522.73,83.64,-191.0
19.31520676612854,522.73,83.64,-189.0
19.839641332626343,520.45,83.27,-187.0
20.3844096660614,519.32,83.09,-185.0
20.912296295166016,517.05,82.73,-183.0
21.442989587783813,518.18,82.91,-181.0
21.988504886627197,515.91,82.55,-179.0
22.516902923583984,514.77,82.36,-177.0
23.06286859512329,513.64,82.18,-175.0
23.592654943466187,512.5,82.0,-173.0
24.121020793914795,510.23,81.64,-171.0
24.666280508041382,509.09,81.45,-169.0
25.19604468345642,509.09,81.45,-167.0
25.742717742919922,506.82,81.09,-165.0
26.274349689483643,504.55,80.73,-163.0
26.81208872795105,503.41,80.55,-161.0
27.347923517227173,501.14,80.18,-159.0
27.877196788787842,500.0,80.0,-157.0
